Country,Nkill,Propvalue,Attack_count
Argentina,5,656000,21
Australia,0,0,1
Belgium,0,0,1
Bolivia,0,0,1
Brazil,2,0,6
Canada,1,0,2
Colombia,0,0,1
Dominican Republic,1,0,2
East Germany (GDR),0,0,12
Egypt,0,0,1
Ethiopia,1,0,3
Greece,2,25000,3
Guatemala,2,0,4
Iran,0,0,5
Ireland,1,0,1
Italy,0,0,3
Japan,0,0,2
Jordan,1,100000,9
Lebanon,0,0,1
Mexico,0,0,2
Netherlands,1,0,3
Nicaragua,0,0,1
Pakistan,4,0,1
Paraguay,1,0,1
Philippines,41,2081000,10
Spain,0,5000,4
Switzerland,47,3000000,3
Turkey,0,25000,12
United Kingdom,20,5000,12
United States,33,19994193,468
Uruguay,3,5946000,33
Venezuela,0,0,2
West Germany (FRG),8,235700,20
